category,handoff_avg,handoff_std,early_stop_avg,early_stop_std,difference
planning,0.18421052631578946,0.05263157894736842,0.1307077625570776,0.0473744292237443,0.05350276375871185
exploration,0.3026315789473684,0.06578947368421052,0.3103120243531202,0.004756468797564667,-0.007680445405751801
reasoning,0.2894736842105263,0.21052631578947367,0.3385654490106545,0.09199010654490108,-0.04909176480012817
insight,0.02631578947368421,0.02631578947368421,0.03434170471841705,0.020452815829528157,-0.00802591524473284
monitoring,0.17105263157894735,0.039473684210526314,0.158675799086758,0.007990867579908675,0.012376832492189349
correction,0.02631578947368421,0.02631578947368421,0.0273972602739726,0.0273972602739726,-0.0010814708002883922
